Date,Close,High,Low,Open,Volume
2000-01-03,4.46875,4.47812509536743,3.95234394073486,4.07499980926514,322352000
2000-01-04,4.09687519073486,4.57499980926514,4.08750009536743,4.26875019073486,349748000
2000-01-05,3.48749995231628,3.75624990463257,3.40000009536743,3.52500009536743,769148000
2000-01-06,3.27812504768372,3.63437509536743,3.20000004768372,3.56562495231628,375040000
2000-01-07,3.47812509536743,3.52500009536743,3.30937504768372,3.34999990463257,210108000
2000-01-10,3.45937490463257,3.63124990463257,3.27812504768372,3.62812495231628,295158000
2000-01-11,3.33750009536743,3.5,3.25,3.34375,210654000
2000-01-12,3.17812490463257,3.40000009536743,3.15000009536743,3.39374995231628,216090000
2000-01-13,3.296875,3.359375,3.15625,3.24687504768372,208962000
2000-01-14,3.21250009536743,3.43125009536743,3.20000004768372,3.33750009536743,137072000
2000-01-18,3.20624995231628,3.25937509536743,3.15000009536743,3.171875,107698000
2000-01-19,3.34062504768372,3.375,3.15000009536743,3.20624995231628,164910000
2000-01-20,3.23749995231628,3.34999990463257,3.19687509536743,3.34687495231628,119560000
2000-01-21,3.10312509536743,3.23125004768372,3,3.23125004768372,229238000
2000-01-24,3.50624990463257,3.66875004768372,3.375,3.37812495231628,583404000
2000-01-25,3.46250009536743,3.5625,3.29999995231628,3.5,188682000
2000-01-26,3.24062490463257,3.5,3.23749995231628,3.43125009536743,131160000
2000-01-27,3.34687495231628,3.38750004768372,3.23125004768372,3.25937509536743,135680000
2000-01-28,3.08437490463257,3.32187509536743,3,3.25,275558000
2000-01-31,3.22812509536743,3.23749995231628,2.921875,3.01874995231628,213958000
2000-02-01,3.37187504768372,3.53125,3.21875,3.375,268092000
2000-02-02,3.47187495231628,3.61249995231628,3.38750004768372,3.39687490463257,280518000
2000-02-03,4.20937490463257,4.296875,3.86875009536743,4.05625009536743,875000000
2000-02-04,3.92812490463257,4.13749980926514,3.89374995231628,4.13749980926514,220460000
2000-02-07,3.75,3.84375,3.65625,3.80937504768372,202580000
2000-02-08,4.15625,4.19999980926514,3.671875,3.70000004768372,389456000
2000-02-09,4.01249980926514,4.18671894073486,4.00078105926514,4.02734422683716,191608000
2000-02-10,3.80937504768372,3.99375009536743,3.77500009536743,3.92499995231628,199592000
2000-02-11,3.80937504768372,3.95624995231628,3.77500009536743,3.85625004768372,166180000
2000-02-14,3.72187495231628,3.78749990463257,3.67812490463257,3.78437495231628,103394000
2000-02-15,3.69062495231628,3.80937504768372,3.53125,3.671875,128490000
2000-02-16,3.53437495231628,3.671875,3.53125,3.63750004768372,85204000
2000-02-17,3.45000004768372,3.56562495231628,3.40000009536743,3.5625,122592000
2000-02-18,3.23749995231628,3.45000004768372,3.19374990463257,3.421875,174528000
2000-02-22,3.17812490463257,3.32500004768372,3.15312504768372,3.24687504768372,113716000
2000-02-23,3.52187490463257,3.58750009536743,3.234375,3.24375009536743,168824000
2000-02-24,3.421875,3.56874990463257,3.28125,3.52812504768372,117386000
