Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2000-01-03,35.44361877441406,36.07077127819726,34.05628141756033,35.69067885166199,53228400
2000-01-04,34.24633026123047,35.61466310185677,34.13230252451161,34.531399603027616,54119000
2000-01-05,34.607425689697266,35.386615394956785,33.258097175711264,33.79022673052265,64059600
2000-01-06,33.44812774658203,34.62641406492754,32.95400767759843,34.113289377906106,54976600
2000-01-07,33.88523864746094,34.13229871611881,32.63093368350557,33.030030717491364,62013600
2000-01-10,34.132293701171875,34.56939991226706,33.86622905094002,34.49338144077224,44963600
2000-01-11,33.2580680847168,34.74042769077846,33.04901737104143,33.904224836077006,46743600
2000-01-12,32.174827575683594,33.10605412689948,31.756725858811155,32.99202638593427,66532400
2000-01-13,32.7829475402832,33.03000743478969,30.863482206040537,31.737694140448088,83144000
2000-01-14,34.132293701171875,34.64541838376187,32.15581344230669,32.59291965340187,73416400
2000-01-18,35.06352615356445,35.42461395677189,33.980262743942134,33.99926736516358,81483600
2000-01-19,32.5359001159668,33.90423236383456,32.231826283107296,33.60015853097506,97568200
2000-01-20,32.2318115234375,33.35308326865142,32.19380231173533,32.55488982290591,56349800
2000-01-21,31.54768180847168,32.611940953817715,31.395644787707962,32.53592244343585,68416200
2000-01-24,30.787485122680664,32.136813174353705,30.654452779557968,31.561923405859204,63597600
2000-01-25,31.26259994506836,31.58567848553411,30.274359703643704,30.711465964273838,59823200
2000-01-26,30.21734619140625,31.471651127653303,30.14132771042158,31.148572583468457,49365000
2000-01-27,30.02728271484375,30.768462478058243,29.571172091327135,30.374116834809506,63654800
2000-01-28,29.87525749206543,30.483405227272872,29.571183624461714,29.837248258614967,58225400
2000-01-31,29.761232376098633,29.856255467976343,28.84901069407262,29.685213902596466,73194200
2000-02-01,31.300600051879883,31.395623124289962,29.704212435390563,29.951272423656768,70196600
2000-02-02,30.654443740844727,31.604674482966388,30.559420666632562,31.14856372674799,49915600
2000-02-03,31.509653091430664,31.68069463414651,30.44539460342094,31.034537694997752,49186000
2000-02-04,32.40287399291992,32.839980211006235,31.66644503853538,31.737712356701625,55365400
2000-02-07,32.42185974121094,32.497878169678025,31.69968467077365,32.478873562561255,40005800
2000-02-08,33.429115295410156,33.44811990899481,32.36485693466941,32.36485693466941,56229000
2000-02-09,31.623680114746094,33.27708165920698,31.585670883838944,33.27708165920698,55090000
2000-02-10,32.2318115234375,32.40285297609725,31.167553595776827,31.590406075963433,54527800
2000-02-11,30.388378143310547,31.88974266696379,30.141318158405586,31.88974266696379,115559000
2000-02-14,30.293359756469727,30.93951673998288,30.122318202010362,30.782728648395132,81028600
2000-02-15,29.970273971557617,30.407380059918953,29.837241683795472,30.331361609769157,71027600
2000-02-16,29.685199737548828,30.464388719136217,29.533162863092752,30.179319579531075,65202600
2000-02-17,30.293359756469727,30.31236437363188,29.537926224274198,29.951276647550998,80343400
2000-02-18,28.906036376953125,30.42640646910056,28.849022498497597,30.407401842948715,79063000
2000-02-22,28.525924682617188,29.533169191730252,28.221850868545317,28.92502156358651,66296200
2000-02-23,28.658958435058594,29.115069179383134,27.99379693291864,28.430903062896324,75847200
2000-02-24,28.810993194580078,29.153076227233406,27.97479022587195,28.6589562911786,69733200
2000-02-25,27.765745162963867,28.796745625038326,27.51868514440224,28.79199447083522,65301400
2000-02-28,27.841768264770508,28.01280984455408,26.796514166093118,27.442671245275505,76131800
2000-02-29,27.176599502563477,27.898774873960267,27.024562582269414,27.898774873960267,58437400
2000-03-01,27.613698959350586,28.61144100709037,27.043560646356426,27.25261136112095,106889800
2000-03-02,28.39289665222168,29.00104437168024,27.708730467830794,27.917781246394675,106932600
2000-03-03,29.229108810424805,30.06531218341485,28.54494241434204,28.81100712392978,101435200
2000-03-06,27.556697845458984,29.609196719465587,27.40466089182887,29.19109509698276,93609400
2000-03-07,28.240867614746094,29.647209609020127,27.95579829158244,29.229107935046766,135061000
2000-03-08,29.058059692382812,29.248105864340843,27.670722637089195,28.52593041090033,94290000
2000-03-09,30.407392501831055,30.407392501831055,28.8870228767395,28.982045978307724,88198800
2000-03-10,30.711462020874023,31.167572842966212,30.255351198781835,30.27435581636901,85589000
2000-03-13,29.79924964904785,30.48341609507191,29.647212661042506,29.685221908043843,61831800
2000-03-14,28.925025939941406,30.179330612764097,28.925025939941406,29.989284450215205,73489200
2000-03-15,29.001047134399414,29.381139495269654,28.487922447224587,28.753987099833758,53208000
2000-03-16,29.001047134399414,29.400144113313168,28.354890120920004,29.172088696791022,77300800
2000-03-17,30.21734619140625,30.255355431898586,28.734985812205192,28.9630412551592,81161600
2000-03-20,29.609193801879883,30.331369260462317,29.343129159244246,30.02729538316445,47773000
2000-03-21,31.243595123291016,31.35762284271908,29.34313313282319,29.419151612441905,81648800
2000-03-22,31.3956241607666,32.11779953492467,30.749467247046226,31.262591855000643,93975800
2000-03-23,34.01826095581055,34.32233479675634,32.421873290845134,32.47888713602247,148224000
2000-03-24,33.961246490478516,34.968491070218505,33.31508959026795,34.246315711159646,112196800
2000-03-27,31.642698287963867,32.91600806892097,31.604689040771117,32.768722236049065,111434000
2000-03-28,31.718717575073242,32.66894877864045,31.129574228861575,31.509666710288457,81114400
2000-03-29,32.59292221069336,33.12505155290876,31.965769771653775,31.98477439101861,64363800
2000-03-30,31.433635711669922,33.030023498719665,31.167571080494962,32.28884345473228,64178400
2000-03-31,32.3078498840332,32.915997646556185,31.66169288635254,32.231831413717835,64281400
2000-04-03,27.63271141052246,29.343126834832653,27.366646788963095,28.715974512585582,260118200
2000-04-04,26.92954444885254,27.97479846768591,25.827276574446437,27.841766138016208,181244400
2000-04-05,26.264379501342773,26.91053645000099,26.112342572246725,26.834517985452965,82887600
2000-04-06,26.150348663330078,26.758496306663336,25.927044450543647,26.72048707895501,66421400
2000-04-07,27.08157730102539,27.176600379274603,25.846277283785636,26.454424984580594,82613600
2000-04-10,26.169363021850586,26.948552480017522,26.150358400919682,26.948552480017522,60685400
2000-04-11,25.504192352294922,26.169353851795904,25.39016466666618,25.884284637724054,71961800
2000-04-12,24.135866165161133,25.010078640434685,23.945819974884273,24.97206940237931,153003800
2000-04-13,24.097841262817383,25.0100623831764,24.021822836120798,24.591961036345182,94316200
2000-04-14,22.539461135864258,24.173857137284433,22.27339667051679,24.059829509278373,151217800
2000-04-17,23.07159996032715,23.109609185961954,22.197387770726614,22.577480027074674,119772200
2000-04-18,24.4969539642334,24.915055583483312,23.07160753497234,23.261653725540484,91794600
2000-04-19,23.92681312561035,24.7820209021413,23.755771570304162,24.763016284885058,53715400
2000-04-20,24.002822875976562,24.2878920312732,23.56571683785506,23.90779982421102,52387400
2000-04-24,20.25893211364746,20.677033902109226,19.764811818192644,20.448978381130082,313645800
2000-04-25,21.09512710571289,21.133136343741203,20.56299777331653,20.905080915571332,159517400
2000-04-26,20.677024841308594,21.627255762324612,20.48697865710539,21.285172630758844,107091200
2000-04-27,21.228160858154297,21.266170098723954,20.486980667045955,20.505985287330784,77669800
2000-04-28,21.209148406982422,21.58924067234053,20.75303768855269,21.513222219268908,78082600
