Date,Close,High,Low,Open,Volume
2004-08-19,2.48894119262695,2.58121613819154,2.38029472947436,2.48050800356973,893181924
2004-08-20,2.68663692474365,2.70573749883078,2.4929096876437,2.50556053308604,456686856
2004-08-23,2.7136754989624,2.8148801498242,2.70499369790201,2.74716271599315,365122512
2004-08-24,2.60130763053894,2.76824647521305,2.56906158556316,2.75931653581078,304946748
2004-08-25,2.62933802604675,2.67894814181019,2.57675142149903,2.60354076584976,183772044
2004-08-26,2.67671513557434,2.67770745614254,2.59609895589627,2.60329215748114,141897960
2004-08-27,2.63305830955505,2.69432719405019,2.62164863142074,2.68142844421073,124235640
2004-08-30,2.53036570549011,2.61668718903307,2.53036570549011,2.61147839272468,103935960
2004-08-31,2.53929543495178,2.57253379940451,2.5340866385885,2.5375589331743,98357544
2004-09-01,2.48670887947083,2.55417863918674,2.47232153184841,2.54748100746915,182765052
2004-09-02,2.51796293258667,2.53929557927423,2.45421407703371,2.46041519423986,302373324
2004-09-03,2.48075556755066,2.523668051579,2.46363939828068,2.50407190826178,103048848
2004-09-07,2.51969933509827,2.53011787329832,2.47083363541321,2.50556059936736,116950932
2004-09-08,2.53755927085876,2.55566658174581,2.49291004195518,2.49886325672079,99712188
2004-09-09,2.53780651092529,2.54772853386706,2.50531280154279,2.54326415527011,81234684
2004-09-10,2.61271810531616,2.64322858926684,2.51275346637007,2.52019551470353,173977848
2004-09-13,2.66654562950134,2.68911850167885,2.64074836514245,2.64496484163764,156882960
2004-09-14,2.76551747322083,2.77816831835355,2.64893317175724,2.66530515952353,216579204
2004-09-15,2.77816843986511,2.83348386796788,2.73351921644729,2.74244915566008,214261524
2004-09-16,2.82703399658203,2.87242739900452,2.7694862638215,2.78660148744289,185326488
2004-09-17,2.91434812545776,2.91434812545776,2.81661672073984,2.83819632535939,189450360
2004-09-20,2.96073365211487,3.01629674643716,2.89648828519276,2.90095360925638,212575212
2004-09-21,2.92302989959717,2.98702736223966,2.91484437823106,2.97189559756398,144575280
2004-09-22,2.93642449378967,2.96842382150757,2.89748081213366,2.91211606464459,151624224
2004-09-23,2.9969494342804,3.04184632373509,2.90268914971678,2.94783488734364,170713116
2004-09-24,2.97239232063293,3.07831019064909,2.97065581876458,2.99992608440265,182469348
2004-09-27,2.93344736099243,2.99843690487918,2.92203744848822,2.96569434823249,141322536
2004-09-28,3.1467719078064,3.16016622583322,2.98181770748751,3.00885590068565,338581080
2004-09-29,3.2514488697052,3.3491812146353,3.13114460076684,3.1428031260681,610329060
2004-09-30,3.21473741531372,3.28171160872921,3.19985449754446,3.22217946500602,275160564
2004-10-01,3.28865671157837,3.32983269497055,3.1973740966364,3.24450329404653,302497200
2004-10-04,3.35017347335815,3.39507036612059,3.32462411384151,3.35488670062432,260455284
2004-10-05,3.43227815628052,3.43624696549938,3.28022247365396,3.34025112665464,299464236
2004-10-06,3.4002788066864,3.43426253293661,3.37348946283863,3.41193756769687,267628104
2004-10-07,3.44418478012085,3.46973413862452,3.38713261262306,3.39631021860103,282301416
2004-10-08,3.41640281677246,3.46477199824557,3.39879107869092,3.44095914364774,221390388
2004-10-11,3.3551344871521,3.44443270010633,3.32015961960847,3.39829464019157,209442348
2004-10-12,3.40821647644043,3.41342645432813,3.30899624528059,3.33479350538215,233310456
2004-10-13,3.49503469467163,3.56076771349366,3.47469507910244,3.55506334781797,395324280
2004-10-14,3.52232098579407,3.53174625834771,3.43699063734221,3.49776371146318,208842948
2004-10-15,3.57465839385986,3.60913768843038,3.52107947155242,3.59499919017974,263895840
2004-10-18,3.6999249458313,3.7009170299933,3.5027244681665,3.55208691778702,280726992
2004-10-19,3.66966247558594,3.78029333350568,3.65502722499506,3.73316342626772,362197440
2004-10-20,3.48486471176147,3.69570716685206,3.4627876495216,3.67189431187032,454453092
2004-10-21,3.70538210868835,3.72398593412274,3.51289483383841,3.58185343567911,582996420
2004-10-22,4.27713871002197,4.46913039813419,4.07001620180485,4.23025741444248,1474200324
2004-10-25,4.64847087860107,4.82285034093152,4.28011510221201,4.37561418776938,1309257432
2004-10-26,4.50956201553345,4.77844844688432,4.46491303641601,4.62217654732728,891391716
2004-10-27,4.6129994392395,4.70105766093886,4.50881831387683,4.53238350298464,533725740
2004-10-28,4.7948203086853,4.82185850165444,4.60382212787213,4.63061123634497,593278128
2004-10-29,4.72883939743042,4.95977475660008,4.72784731325766,4.93348098117602,845653500
2004-11-01,4.86253833770752,4.90321898493802,4.74446662300263,4.80102203378059,488507004
2004-11-02,4.83376455307007,4.9424102863682,4.79581201924671,4.93075152585336,453398148
2004-11-03,4.75438833236694,5.00070215592163,4.73156756254649,4.91586833215833,554992452
2004-11-04,4.58149671554565,4.72288596219944,4.54800973895438,4.67426816582529,575807616
2004-11-05,4.20073890686035,4.52196430585225,4.18089486129352,4.51402668762552,792530676
2004-11-08,4.28011465072632,4.35180087396891,4.20197869976982,4.23993075797322,447224328
2004-11-09,4.18461561203003,4.34584793543647,4.09953412692707,4.31856255257926,442125432
2004-11-10,4.16377925872803,4.27937003901939,4.125826729601,4.23348083813091,425334240
2004-11-11,4.53982448577881,4.55793203086356,4.15658553263511,4.19528154223115,598820580
2004-11-12,4.51452350616455,4.708003071496,4.40041917899526,4.59464316191002,669174156
2004-11-15,4.5857138633728,4.67129164364194,4.43390701730577,4.47607603204573,475583940
2004-11-16,4.27986764907837,4.45176620071163,4.23745049724805,4.40290073810376,835859304
2004-11-17,4.27887439727783,4.4029000229741,4.19205641202584,4.19255316299897,724590684
2004-11-18,4.15584230422974,4.3265006254409,4.11094423486144,4.22405600487548,664518816
2004-11-19,4.20197916030884,4.21636650701331,4.13054059575582,4.19453782041018,350421228
2004-11-22,4.09531688690186,4.20445935583769,4.00130570699724,4.07968979221705,494233272
